t/s,UL1-N [V],UL2-N [V],UL3-N [V],UL1-L2 [V],UL2-L3 [V],UL3-L1 [V],I1 [A],I2 [A],I3 [A],IN [A],S1 [VA],S2 [VA],S3 [VA],P1 [W],P2 [W],P3 [W],Q1 [var],Q2 [var],Q3 [var],cos ?1,cos ?2,cos ?3,UTHD1 [%],UTHD2 [%],UTHD3 [%],f [Hz],[V],[V],[A],?S [VA],?P [W],?Q [var],cos ?,Label
1.204,119.211,120.467,118.647,208.137,207.238,205.256,1.06948,0.939677,0.762616,0.247673,127.493,113.2,90.4817,-115.924,-104.533,-82.3147,46.3989,35.4803,30.2119,0.909258,0.923437,0.909739,1.83097,1.99976,1.69495,60.0312,119.442,206.877,0.923923,331.175,-302.772,112.091,0.914236,0
1.235,119.211,120.467,118.647,208.137,207.238,205.256,1.06948,0.939677,0.762616,0.247673,127.493,113.2,90.4817,-115.924,-104.533,-82.3147,46.3989,35.4803,30.2119,0.909258,0.923437,0.909739,1.83097,1.99976,1.69495,60.0312,119.442,206.877,0.923923,331.175,-302.772,112.091,0.914236,0
1.25,119.211,120.467,118.647,208.137,207.238,205.256,1.06948,0.939677,0.762616,0.247673,127.493,113.2,90.4817,-115.924,-104.533,-82.3147,46.3989,35.4803,30.2119,0.909258,0.923437,0.909739,1.83097,1.99976,1.69495,60.0312,119.442,206.877,0.923923,331.175,-302.772,112.091,0.914236,0
1.266,119.211,120.467,118.647,208.137,207.238,205.256,1.06948,0.939677,0.762616,0.247673,127.493,113.2,90.4817,-115.924,-104.533,-82.3147,46.3989,35.4803,30.2119,0.909258,0.923437,0.909739,1.83097,1.99976,1.69495,60.0312,119.442,206.877,0.923923,331.175,-302.772,112.091,0.914236,0
1.282,119.211,120.467,118.647,208.137,207.238,205.256,1.06948,0.939677,0.762616,0.247673,127.493,113.2,90.4817,-115.924,-104.533,-82.3147,46.3989,35.4803,30.2119,0.909258,0.923437,0.909739,1.83097,1.99976,1.69495,60.0312,119.442,206.877,0.923923,331.175,-302.772,112.091,0.914236,0
1.313,119.211,120.467,118.647,208.137,207.238,205.256,1.06948,0.939677,0.762616,0.247673,127.493,113.2,90.4817,-115.924,-104.533,-82.3147,46.3989,35.4803,30.2119,0.909258,0.923437,0.909739,1.83097,1.99976,1.69495,60.0312,119.442,206.877,0.923923,331.175,-302.772,112.091,0.914236,0
1.329,119.211,120.467,118.647,208.137,207.238,205.256,1.06948,0.939677,0.762616,0.247673,127.493,113.2,90.4817,-115.924,-104.533,-82.3147,46.3989,35.4803,30.2119,0.909258,0.923437,0.909739,1.83097,1.99976,1.69495,60.0312,119.442,206.877,0.923923,331.175,-302.772,112.091,0.914236,0
1.344,119.211,120.467,118.647,208.137,207.238,205.256,1.06948,0.939677,0.762616,0.247673,127.493,113.2,90.4817,-115.924,-104.533,-82.3147,46.3989,35.4803,30.2119,0.909258,0.923437,0.909739,1.83097,1.99976,1.69495,60.0312,119.442,206.877,0.923923,331.175,-302.772,112.091,0.914236,0
1.375,119.239,120.423,118.635,208.1,207.15,205.332,1.07407,0.94317,0.763848,0.249624,128.07,113.579,90.6189,-116.119,-104.71,-82.1269,47.7745,36.551,31.0614,0.906682,0.921914,0.906288,1.77716,1.98836,1.69661,60.0312,119.432,206.861,0.927028,332.268,-302.956,115.387,0.911781,0
1.391,119.239,120.423,118.635,208.1,207.15,205.332,1.07407,0.94317,0.763848,0.249624,128.07,113.579,90.6189,-116.119,-104.71,-82.1269,47.7745,36.551,31.0614,0.906682,0.921914,0.906288,1.77716,1.98836,1.69661,60.0312,119.432,206.861,0.927028,332.268,-302.956,115.387,0.911781,0
1.407,119.239,120.423,118.635,208.1,207.15,205.332,1.07407,0.94317,0.763848,0.249624,128.07,113.579,90.6189,-116.119,-104.71,-82.1269,47.7745,36.551,31.0614,0.906682,0.921914,0.906288,1.77716,1.98836,1.69661,60.0312,119.432,206.861,0.927028,332.268,-302.956,115.387,0.911781,0
1.422,119.239,120.423,118.635,208.1,207.15,205.332,1.07407,0.94317,0.763848,0.249624,128.07,113.579,90.6189,-116.119,-104.71,-82.1269,47.7745,36.551,31.0614,0.906682,0.921914,0.906288,1.77716,1.98836,1.69661,60.0312,119.432,206.861,0.927028,332.268,-302.956,115.387,0.911781,0
1.454,119.239,120.423,118.635,208.1,207.15,205.332,1.07407,0.94317,0.763848,0.249624,128.07,113.579,90.6189,-116.119,-104.71,-82.1269,47.7745,36.551,31.0614,0.906682,0.921914,0.906288,1.77716,1.98836,1.69661,60.0312,119.432,206.861,0.927028,332.268,-302.956,115.387,0.911781,0
1.469,119.239,120.423,118.635,208.1,207.15,205.332,1.07407,0.94317,0.763848,0.249624,128.07,113.579,90.6189,-116.119,-104.71,-82.1269,47.7745,36.551,31.0614,0.906682,0.921914,0.906288,1.77716,1.98836,1.69661,60.0312,119.432,206.861,0.927028,332.268,-302.956,115.387,0.911781,0
1.485,119.239,120.423,118.635,208.1,207.15,205.332,1.07407,0.94317,0.763848,0.249624,128.07,113.579,90.6189,-116.119,-104.71,-82.1269,47.7745,36.551,31.0614,0.906682,0.921914,0.906288,1.77716,1.98836,1.69661,60.0312,119.432,206.861,0.927028,332.268,-302.956,115.387,0.911781,0
1.5,119.239,120.423,118.635,208.1,207.15,205.332,1.07407,0.94317,0.763848,0.249624,128.07,113.579,90.6189,-116.119,-104.71,-82.1269,47.7745,36.551,31.0614,0.906682,0.921914,0.906288,1.77716,1.98836,1.69661,60.0312,119.432,206.861,0.927028,332.268,-302.956,115.387,0.911781,0
1.532,119.239,120.423,118.635,208.1,207.15,205.332,1.07407,0.94317,0.763848,0.249624,128.07,113.579,90.6189,-116.119,-104.71,-82.1269,47.7745,36.551,31.0614,0.906682,0.921914,0.906288,1.77716,1.98836,1.69661,60.0312,119.432,206.861,0.927028,332.268,-302.956,115.387,0.911781,0
1.547,119.239,120.423,118.635,208.1,207.15,205.332,1.07407,0.94317,0.763848,0.249624,128.07,113.579,90.6189,-116.119,-104.71,-82.1269,47.7745,36.551,31.0614,0.906682,0.921914,0.906288,1.77716,1.98836,1.69661,60.0312,119.432,206.861,0.927028,332.268,-302.956,115.387,0.911781,0
1.563,119.246,120.458,118.642,208.182,207.182,205.305,1.0684,0.942113,0.761105,0.245769,127.403,113.485,90.299,-115.728,-104.928,-82.0116,46.6112,35.6495,30.3838,0.908363,0.924603,0.908223,1.77175,1.96335,1.6517,60.0312,119.449,206.889,0.923873,331.187,-302.668,112.644,0.91389,0
1.594,119.246,120.458,118.642,208.182,207.182,205.305,1.0684,0.942113,0.761105,0.245769,127.403,113.485,90.299,-115.728,-104.928,-82.0116,46.6112,35.6495,30.3838,0.908363,0.924603,0.908223,1.77175,1.96335,1.6517,60.0312,119.449,206.889,0.923873,331.187,-302.668,112.644,0.91389,0
1.61,119.246,120.458,118.642,208.182,207.182,205.305,1.0684,0.942113,0.761105,0.245769,127.403,113.485,90.299,-115.728,-104.928,-82.0116,46.6112,35.6495,30.3838,0.908363,0.924603,0.908223,1.77175,1.96335,1.6517,60.0312,119.449,206.889,0.923873,331.187,-302.668,112.644,0.91389,0
1.625,119.246,120.458,118.642,208.182,207.182,205.305,1.0684,0.942113,0.761105,0.245769,127.403,113.485,90.299,-115.728,-104.928,-82.0116,46.6112,35.6495,30.3838,0.908363,0.924603,0.908223,1.77175,1.96335,1.6517,60.0312,119.449,206.889,0.923873,331.187,-302.668,112.644,0.91389,0
