t/s,UL1-N [V],UL2-N [V],UL3-N [V],UL1-L2 [V],UL2-L3 [V],UL3-L1 [V],I1 [A],I2 [A],I3 [A],IN [A],S1 [VA],S2 [VA],S3 [VA],P1 [W],P2 [W],P3 [W],Q1 [var],Q2 [var],Q3 [var],cos ?1,cos ?2,cos ?3,UTHD1 [%],UTHD2 [%],UTHD3 [%],f [Hz], [V], [V]2, [A],?S [VA],?P [W],?Q [var],cos ?,Label
0.969,119.957,121.271,119.876,209.139,209.173,207.133,1.34684,1.2314,1.14283,0.272431,161.563,149.333,136.997,-153.076,-139.717,-130.745,42.4122,43.2333,29.8326,0.94747,0.935602,0.954357,1.52118,1.67434,1.39545,59.9824,120.368,208.481,1.24036,447.894,-423.537,115.478,0.94562,0
0.984,119.957,121.271,119.876,209.139,209.173,207.133,1.34684,1.2314,1.14283,0.272431,161.563,149.333,136.997,-153.076,-139.717,-130.745,42.4122,43.2333,29.8326,0.94747,0.935602,0.954357,1.52118,1.67434,1.39545,59.9824,120.368,208.481,1.24036,447.894,-423.537,115.478,0.94562,0
1.016,119.957,121.271,119.876,209.139,209.173,207.133,1.34684,1.2314,1.14283,0.272431,161.563,149.333,136.997,-153.076,-139.717,-130.745,42.4122,43.2333,29.8326,0.94747,0.935602,0.954357,1.52118,1.67434,1.39545,59.9824,120.368,208.481,1.24036,447.894,-423.537,115.478,0.94562,0
1.031,119.914,121.263,119.794,209.128,209.104,206.982,1.34067,1.2259,1.13098,0.268951,160.766,148.656,135.484,-152.079,-138.961,-129.223,41.8609,41.9176,29.2721,0.945965,0.934785,0.953785,1.69965,1.69158,1.45711,59.9824,120.324,208.405,1.23252,444.906,-420.263,113.051,0.944611,0
1.047,119.914,121.263,119.794,209.128,209.104,206.982,1.34067,1.2259,1.13098,0.268951,160.766,148.656,135.484,-152.079,-138.961,-129.223,41.8609,41.9176,29.2721,0.945965,0.934785,0.953785,1.69965,1.69158,1.45711,59.9824,120.324,208.405,1.23252,444.906,-420.263,113.051,0.944611,0
1.062,119.914,121.263,119.794,209.128,209.104,206.982,1.34067,1.2259,1.13098,0.268951,160.766,148.656,135.484,-152.079,-138.961,-129.223,41.8609,41.9176,29.2721,0.945965,0.934785,0.953785,1.69965,1.69158,1.45711,59.9824,120.324,208.405,1.23252,444.906,-420.263,113.051,0.944611,0
1.094,119.914,121.263,119.794,209.128,209.104,206.982,1.34067,1.2259,1.13098,0.268951,160.766,148.656,135.484,-152.079,-138.961,-129.223,41.8609,41.9176,29.2721,0.945965,0.934785,0.953785,1.69965,1.69158,1.45711,59.9824,120.324,208.405,1.23252,444.906,-420.263,113.051,0.944611,0
1.109,119.914,121.263,119.794,209.128,209.104,206.982,1.34067,1.2259,1.13098,0.268951,160.766,148.656,135.484,-152.079,-138.961,-129.223,41.8609,41.9176,29.2721,0.945965,0.934785,0.953785,1.69965,1.69158,1.45711,59.9824,120.324,208.405,1.23252,444.906,-420.263,113.051,0.944611,0
1.125,119.914,121.263,119.794,209.128,209.104,206.982,1.34067,1.2259,1.13098,0.268951,160.766,148.656,135.484,-152.079,-138.961,-129.223,41.8609,41.9176,29.2721,0.945965,0.934785,0.953785,1.69965,1.69158,1.45711,59.9824,120.324,208.405,1.23252,444.906,-420.263,113.051,0.944611,0
1.141,119.914,121.263,119.794,209.128,209.104,206.982,1.34067,1.2259,1.13098,0.268951,160.766,148.656,135.484,-152.079,-138.961,-129.223,41.8609,41.9176,29.2721,0.945965,0.934785,0.953785,1.69965,1.69158,1.45711,59.9824,120.324,208.405,1.23252,444.906,-420.263,113.051,0.944611,0
1.172,119.914,121.263,119.794,209.128,209.104,206.982,1.34067,1.2259,1.13098,0.268951,160.766,148.656,135.484,-152.079,-138.961,-129.223,41.8609,41.9176,29.2721,0.945965,0.934785,0.953785,1.69965,1.69158,1.45711,59.9824,120.324,208.405,1.23252,444.906,-420.263,113.051,0.944611,0
1.187,119.914,121.263,119.794,209.128,209.104,206.982,1.34067,1.2259,1.13098,0.268951,160.766,148.656,135.484,-152.079,-138.961,-129.223,41.8609,41.9176,29.2721,0.945965,0.934785,0.953785,1.69965,1.69158,1.45711,59.9824,120.324,208.405,1.23252,444.906,-420.263,113.051,0.944611,0
1.203,119.914,121.263,119.794,209.128,209.104,206.982,1.34067,1.2259,1.13098,0.268951,160.766,148.656,135.484,-152.079,-138.961,-129.223,41.8609,41.9176,29.2721,0.945965,0.934785,0.953785,1.69965,1.69158,1.45711,59.9824,120.324,208.405,1.23252,444.906,-420.263,113.051,0.944611,0
1.234,119.863,121.214,119.748,209.028,209.022,206.911,1.33139,1.21485,1.12467,0.270118,159.584,147.256,134.677,-151.209,-137.935,-128.552,41.8818,42.2591,29.3374,0.947517,0.936697,0.954525,1.62335,1.70081,1.44402,59.9824,120.275,208.32,1.22364,441.518,-417.696,113.478,0.946046,0
1.25,119.863,121.214,119.748,209.028,209.022,206.911,1.33139,1.21485,1.12467,0.270118,159.584,147.256,134.677,-151.209,-137.935,-128.552,41.8818,42.2591,29.3374,0.947517,0.936697,0.954525,1.62335,1.70081,1.44402,59.9824,120.275,208.32,1.22364,441.518,-417.696,113.478,0.946046,0
1.266,119.863,121.214,119.748,209.028,209.022,206.911,1.33139,1.21485,1.12467,0.270118,159.584,147.256,134.677,-151.209,-137.935,-128.552,41.8818,42.2591,29.3374,0.947517,0.936697,0.954525,1.62335,1.70081,1.44402,59.9824,120.275,208.32,1.22364,441.518,-417.696,113.478,0.946046,0
1.281,119.863,121.214,119.748,209.028,209.022,206.911,1.33139,1.21485,1.12467,0.270118,159.584,147.256,134.677,-151.209,-137.935,-128.552,41.8818,42.2591,29.3374,0.947517,0.936697,0.954525,1.62335,1.70081,1.44402,59.9824,120.275,208.32,1.22364,441.518,-417.696,113.478,0.946046,0
1.312,119.863,121.214,119.748,209.028,209.022,206.911,1.33139,1.21485,1.12467,0.270118,159.584,147.256,134.677,-151.209,-137.935,-128.552,41.8818,42.2591,29.3374,0.947517,0.936697,0.954525,1.62335,1.70081,1.44402,59.9824,120.275,208.32,1.22364,441.518,-417.696,113.478,0.946046,0
1.328,119.863,121.214,119.748,209.028,209.022,206.911,1.33139,1.21485,1.12467,0.270118,159.584,147.256,134.677,-151.209,-137.935,-128.552,41.8818,42.2591,29.3374,0.947517,0.936697,0.954525,1.62335,1.70081,1.44402,59.9824,120.275,208.32,1.22364,441.518,-417.696,113.478,0.946046,0
1.344,119.863,121.214,119.748,209.028,209.022,206.911,1.33139,1.21485,1.12467,0.270118,159.584,147.256,134.677,-151.209,-137.935,-128.552,41.8818,42.2591,29.3374,0.947517,0.936697,0.954525,1.62335,1.70081,1.44402,59.9824,120.275,208.32,1.22364,441.518,-417.696,113.478,0.946046,0
1.375,119.863,121.214,119.748,209.028,209.022,206.911,1.33139,1.21485,1.12467,0.270118,159.584,147.256,134.677,-151.209,-137.935,-128.552,41.8818,42.2591,29.3374,0.947517,0.936697,0.954525,1.62335,1.70081,1.44402,59.9824,120.275,208.32,1.22364,441.518,-417.696,113.478,0.946046,0
1.391,119.863,121.214,119.748,209.028,209.022,206.911,1.33139,1.21485,1.12467,0.270118,159.584,147.256,134.677,-151.209,-137.935,-128.552,41.8818,42.2591,29.3374,0.947517,0.936697,0.954525,1.62335,1.70081,1.44402,59.9824,120.275,208.32,1.22364,441.518,-417.696,113.478,0.946046,0
